id,type,startDay,duration,marketId,cropIds,strength,chance,jitter,signalOperation,signalValue,recoveryDays,title,rumor,comment
lower_ration_delay,basic,4,2,lower,lettuce,mid,1,0,add,16,3,下層配給の遅延,物資用エレベーターの定期点検で配給が遅れるらしい。,レタスの需要シグナルが増えるかもしれない。
field_survey,basic,10,3,lower,lettuce,high,1,0,add,24,4,大規模遠征調査,地表への大規模遠征調査で携行食が大量に持ち出されるらしい。,レタスの需要シグナルが大きく増えるかもしれない。
admin_audit_stress,basic,14,2,medical,chamomile,mid,1,0,add,8,3,管理局抜き打ち査察,管理局で抜き打ち査察が入り、職員の夜間待機が増えるらしい。,カモミールの需要シグナルが増えるかもしれない。
upper_banquet,basic,19,3,upper,strawberry,mid,1,0,add,5,3,上層祝宴予約,上層区画で非公式の祝宴予約が重なっているらしい。,イチゴの需要シグナルが増えるかもしれない。
supply_relay,basic,24,2,rebel,aconite,mid,1,0,add,4,3,撹乱素材の調達噂,反体制派の工作班が撹乱用素材を集めているらしい。,トリカブトの需要シグナルが増えるかもしれない。
lower_supplement_supply,basic,28,3,lower,basil,mid,1,0,add,8,4,下層への臨時配給,上層での残飯処理として、下層への食糧供給が増えるらしい。,食卓に余裕が生まれ、バジルの需要シグナルが増えるかもしれない。
health_review,rare,7,2,lower,spinach,rare,0.45,2,add,12,3,定例健康評価の実施,全市民に健康状態の査定が入るらしい。,ホウレンソウの需要シグナルが増えるかもしれない。
clinic_overflow,rare,16,3,medical,rosemary,rare,0.45,2,add,7,4,臨時診療ブロック,医療区画で臨時診療ブロックが開設されるらしい。,ローズマリーの需要シグナルが増えるかもしれない。
shelter_delegation,rare,22,2,upper,melon,rare,0.45,2,add,4,4,他シェルターからの使節団来訪,他シェルターからの使節団が上層区画を視察するらしい。,培養メロンの需要シグナルが増えるかもしれない。
sabotage_order,rare,26,2,rebel,aconite,rare,0.45,2,add,5,4,撹乱作戦の影,反体制派の一部が大きな撹乱作戦を準備しているらしい。,トリカブトの需要シグナルが増えるかもしれない。
