id,name,icon,sprite,basePrice,color,description
water,水 初期備蓄,assets/icons/water.webp,,0,#48dbea,ゲーム開始時に支給される備蓄水。追加分は製水器で生産し、設備をクリックして回収する。
nutrient,養液 初期備蓄,assets/icons/nutrient.webp,,0,#f5d65b,ゲーム開始時に支給される養液。追加分は養液培養槽で生産し、設備をクリックして回収する。
pod,栽培ポッド,assets/icons/seed.webp,assets/equipment/pod-empty.webp,120,#48dbea,1苗用。植え付け時の水・養液投入だけで収穫まで管理できる。
box,栽培ボックス,assets/icons/fridge.webp,assets/equipment/box-empty-gridfit-v1.webp,720,#f5d65b,6株用。一括投入式で管理コストが低い中型設備。
light,区画LEDライト,assets/icons/led.webp,assets/equipment/light-iso-tall-v2.webp,180,#f5d65b,1マス使用。周囲2マスのポッド・ボックスに照明効果を与える。維持費+4。
fan,区画循環ファン,assets/icons/fan.webp,assets/equipment/fan-iso-tall-v2.webp,150,#48dbea,1マス使用。周囲2マスのポッド・ボックスに送風効果を与える。維持費+3。
tank,養液培養槽,assets/icons/tank.webp,,250,#91d9ff,床面に設置すると1日ごとに養液が3貯まる。未回収の養液がある間は生産を停止し、設備をクリックすると回収できる。
filter,製水器,assets/icons/filter.webp,,500,#48dbea,床面に設置すると1日ごとに水が4貯まる。未回収の水がある間は生産を停止し、設備をクリックすると回収できる。
water_cartridge,水貯蔵カートリッジ,assets/icons/water.webp,,150,#48dbea,製水器1基あたりの1日生産量を1増加し、水の最大貯蔵量を10増加する。繰り返し購入可能。
nutrient_cartridge,養液貯蔵カートリッジ,assets/icons/nutrient.webp,,150,#f5d65b,養液培養槽1基あたりの1日生産量を1増加し、養液の最大貯蔵量を10増加する。繰り返し購入可能。
fridge,冷蔵保管箱,assets/icons/fridge.webp,,400,#b5d5ff,収穫物が劣化するまでの日数を3日から6日に延長。
support_robot,サポートロボット,assets/icons/supportRobot.webp,assets/characters/supportRobot-iso-leftdown.webp,900,#48dbea,追加OSで作業を担当できる補助ロボット。個体ごとに特技と性格が異なる。
procurement_terminal,設置型調達端末,assets/equipment/procurement-terminal-iso-v1.webp,assets/equipment/procurement-terminal-iso-v1.webp,520,#72ffb8,栽培区画に置くと、範囲内のサポートロボットが作物ごとに指定した種を自動購入できる。
shipping_hatch,出荷用搬出口,assets/equipment/shipping-hatch-iso-v1.webp,assets/equipment/shipping-hatch-iso-v1.webp,680,#f5d65b,栽培区画に置くと、範囲内のサポートロボットが作物ごとに指定した出荷を自動実行できる。
support_os_harvest,収穫OS,assets/icons/support-os-harvest-v1.webp,,650,#72ffb8,サポートロボットが範囲内の収穫可能作物を一株ずつ回収できる。
support_os_planting,植え付けOS,assets/icons/support-os-planting-v1.webp,,620,#72ffb8,サポートロボットが範囲内の空きスロットへ指定した種を一株ずつ植え付ける。
support_os_cleaning,お掃除OS,assets/icons/support-os-cleaning-v1.webp,,560,#f5d65b,サポートロボットが範囲内の汚れた設備を自動清掃できる。自分自身も清掃対象になる。
support_os_storage,資源保管OS,assets/icons/tank.webp,,600,#48dbea,サポートロボットが範囲内の製水器と養液培養槽から未回収資源を自動回収できる。
