eventId,marketId,cropId,operation,value,note
inspection_food_surge,lower,lettuce,add,18,調査団向け携行食
inspection_food_surge,lower,spinach,add,12,調査団向け栄養食
inspection_food_surge,lower,tomato,add,5,調査団向け保存食
inspection_food_surge,rebel,lettuce,add,12,地下補給網の買付
inspection_food_surge,rebel,spinach,add,8,地下補給網の栄養食
nutrition_audit,lower,lettuce,add,10,監査対応の葉物買付
nutrition_audit,lower,spinach,add,14,監査対応の栄養食買付
old_world_banquet,lower,basil,add,8,旧世界料理の香草需要
old_world_banquet,lower,tomato,add,5,旧世界料理の食材需要
old_world_banquet,upper,tomato,add,6,上層晩餐会の食材需要
water_ration_vote,*,*,multiply,1.10,供給不安による全般的な買付増
market_crackdown,*,*,multiply,1.20,摘発リスクを見込んだ駆け込み需要
medical_contract,medical,chamomile,add,9,医療備蓄契約
medical_contract,medical,rosemary,add,8,医療備蓄契約
medical_contract,lower,spinach,add,8,患者食向け買付
gift_season,upper,strawberry,add,6,贈答向け果実需要
gift_season,upper,melon,add,4,贈答向け最高級果実需要
