"id","title","body"
"item.summary","WORKFORCE TOTAL","所有している全サポートロボットの台数と、現在の電力・気力の合計です。"
"item.unitName","UNIT NAME","このロボットの表示名です。初期支給機以外は24文字まで変更でき、拠点名と合わせて個体識別に使われます。"
"item.energy","電力","作業時に最初に消費する基本資源です。残量がある間は通常効率で働き、尽きると気力を使って作業を続けます。"
"item.morale","気力","電力が尽きた後の作業継続に使います。電力と気力の両方を使い切ると1日かけた強制休養に入ります。"
"item.location","LOCATION","このロボットを配置している拠点とグリッド座標です。ブループリントは個体ごとに保存されます。"
"item.range","RANGE","収穫・種まき・育成管理・清掃で届く作業範囲です。ボックスなど複数マスの設備は、占有するいずれかのマスが範囲内なら作業できます。"
"item.trait","TRAIT","この個体の作業特性です。得意な業務のスキル等級や消費資源などに影響します。"
"item.personality","PERSONALITY // {name}","{description}"
"item.assignmentStatus","担当作業","開始ノードから接続され、実際に到達できるタスクの種類を表示します。未接続ノードと充電休憩は含みません。"
"item.efficiencyStatus","効率補正","固有速度、担当構成による個体補正、同拠点支援、現在の気力倍率を合成した実際の作業効率です。"
"item.status","ROBOT STATUS","READY、クールタイム、充電休憩、強制休養など、現在の稼働状態を表示します。クールタイムはロボット個体に属し、タスクごとの値ではありません。"
"item.center","CENTER","配置済みノード全体が編集領域に収まるよう、表示位置とズームを中央へ戻します。ノード配置そのものは変わりません。"
"item.packageToggle","NODE PACKAGE","登録済みのノード構成を開閉します。パッケージは既存の構成を残したまま、独立したノード群として追加されます。"
"item.packageCard","ADD PACKAGE","カードを編集領域へドラッグすると、その位置へパッケージ内の解放済みノードを追加します。内部の配線だけを作成し、開始ノードや既存フローには自動接続しません。短く押すと空いている位置へ追加します。"
"item.tooltipToggle","TOOLTIPS","労務管理画面の詳しい説明表示を切り替えます。初期状態はONで、変更した設定はこのブラウザに保存されます。"
"item.simple","SIMPLE","ノードライブラリにタスクノードだけを表示します。すでに配置したフローノードは消えず、そのまま動作します。"
"item.advanced","ADVANCED","タスクに加えて、分岐・シーケンス・条件など全ノードをライブラリへ表示します。"
"item.editor","BLUEPRINT EDITOR","ノードはヘッダーをドラッグして移動します。出力端子から入力端子へ線を引き、空白ドラッグで移動、ホイールまたはピンチで拡大縮小できます。"
"item.library","NODE LIBRARY","ノードを編集領域へドラッグして配置します。短く押すと空いている位置へ自動配置されます。同じノードを複数置けます。"
"item.conditionSource","CHECK","条件ノードで何を調べるかを選びます。選択内容に応じて、作物・タスク・比較方法などの追加項目が現れます。"
