id,name,rangeMod,fuelMod,speedMod,weight,conflictGroup,conflicts,description
steady,堅実,1,0.9,1,1,,,燃費がよく安定して動く。
eager,前のめり,0.9,1.15,1.25,1,work_pace,careful,範囲は狭いが作業が速い。
careful,慎重,1.15,0.85,0.85,1,work_pace,eager,省エネで広く見られるが手は遅い。
flighty,移り気,1,1,1,1,assignment_style,devoted,担当作業が多いほど効率が上がる。2種類目から1種類ごとに5％上昇し、最大20％になる。
devoted,一途,1,1,1,1,assignment_style,flighty,担当作業が少ないほど効率が上がる。1種類なら30％で、種類が増えるごとに7.5％ずつ低下する。
shift_leader,バイトリーダー,1,1,1,1,,,同じ拠点に配置された自分以外のサポートロボットの効率を10％上げる。
club_princess,サークルの姫,1,1,1,1,,,同じ拠点にいる仲間の効率を高める。人数の多い職場では会話が弾みすぎることがある。
neat,綺麗好き,1,1,1,1,,,清掃作業のクールダウンを20％短縮する。
botanist,ボタニスト,1,1,1,1,,,範囲内の植物の成長速度を10％上げ、収穫作業のクールダウンを20％短縮する。
lone_wolf,一匹オオカミ,1,1,1,1,work_social,mood_maker,同じ拠点に自分しかいないとき、作業効率が30％上昇する。
mood_maker,ムードメーカー,1,1,1,1,work_social,lone_wolf,作業成功時に15％の確率で同じ拠点の仲間1台の気力を3回復する。1日最大3回。
clutch,土壇場◎,1,1,1,1,,,電力が25％以下になると効率が35％上昇するが、気力による代替稼働の消費が50％増える。
naniwa_merchant,なにわの商人,1,1,1,1,,,自身が種を調達すると価格を5％割り引き、調達と出荷のクールダウンを20％短縮する。
mimic,見よう見まね,1,1,1,1,,,設置時に同じ拠点の仲間を観察し、自分以上の技能を1つ選んで同技能を1段階上げる。
