marketId,title,kicker,order,text
lower,下層市場 END,AFTER THE OPERATION,1,"その後、主人公の農場は下層の人々にとっての重要な食糧源となりました。"
lower,下層市場 END,AFTER THE OPERATION,2,"管理局による食料規制で苦しむ人々は減りましたが"
lower,下層市場 END,AFTER THE OPERATION,3,"それは根本的な解決にはなりませんでした。"
lower,下層市場 END,AFTER THE OPERATION,4,"主人公の死を多くの人が悲しみ、その功績を語り継ぎました。"
upper,上層市場 END,AFTER THE OPERATION,1,"その後、主人公は管理局公認の登録栽培業者となり"
upper,上層市場 END,AFTER THE OPERATION,2,"上層市場向けの商品作物、あるいは他のシェルターとの外交に用いられる貴重な果実などの栽培にシフトしました。"
upper,上層市場 END,AFTER THE OPERATION,3,"主人公の類まれな植物栽培スキルはお金持ちのためだけに使われ、それ以外の人々がどうなったか、主人公は知る由もありません。"
upper,上層市場 END,AFTER THE OPERATION,4,"しかし主人公は巨万の富を得ました。"
upper,上層市場 END,AFTER THE OPERATION,5,"この狭く暗く、限られたシェルターの中で、主人公の死後には立派な墓と記念碑が建てられたことから、彼の与えた影響の大きさがわかるでしょう。"
upper,上層市場 END,AFTER THE OPERATION,6,"その墓は、人類が滅亡したあとも長い時間むなしくそこにありつづけました。"
medical,医療市場 END,AFTER THE OPERATION,1,"その後、主人公は医療実験区画の人々と協力して、治療や技術発展に寄与する様々な植物を栽培しました。"
medical,医療市場 END,AFTER THE OPERATION,2,"壊れていく世界と人々を前にして、それはあまりにもむなしい行為だと嘆く日もありました。"
medical,医療市場 END,AFTER THE OPERATION,3,"主人公が携わった中には、汚染された地球の浄化の可能性も秘めた植物の栽培実験などもありました。"
medical,医療市場 END,AFTER THE OPERATION,4,"しかしそれは、主人公の短い一生の中で実現することはありませんでした。"
rebel,反体制市場 END,AFTER THE OPERATION,1,"その後、主人公はレジスタンスの人々にとっての重要な補給網の一翼を担い、管理局による絶対的な統治に反逆していきました。"
rebel,反体制市場 END,AFTER THE OPERATION,2,"その過程では多くの人々が巻き添えになりましたが、それは必要な犠牲だったのかもしれません。"
rebel,反体制市場 END,AFTER THE OPERATION,3,"管理局とレジスタンスの争いは荒廃した地下世界にさらなる混迷と悲劇を巻き起こし"
rebel,反体制市場 END,AFTER THE OPERATION,4,"主人公自身も反抗の熱意を瞳に宿したまま、息絶えました。"
