id,trigger,layout,kicker,title,background,choices,once,priority,blocking,requirements,context,sound,soundVolume,effects
episode0_first_illegal_procurement,game_start,duel,,,,ok=LINK CLOSE,TRUE,200,TRUE,,,comms_open,0.18,choice:*->comms:game_start
story_market_medical_unlocked,market_medical_unlocked,duel,,,,open=市場を見る|close=閉じる,TRUE,176,TRUE,,unlockType=market|marketId=medical,comms_open,0.18,choice:open->tab:market
story_property_broker_unlocked,property_broker_unlocked,duel,,,,open=物件を見る|close=閉じる,TRUE,175,TRUE,,unlockType=broker,comms_open,0.18,choice:open->tab:broker
story_market_upper_unlocked,market_upper_unlocked,duel,,,,open=市場を見る|close=閉じる,TRUE,176,TRUE,,unlockType=market|marketId=upper,comms_open,0.18,choice:open->tab:market
story_market_rebel_unlocked,market_rebel_unlocked,duel,,,,open=市場を見る|close=閉じる,TRUE,176,TRUE,,unlockType=market|marketId=rebel,comms_open,0.18,choice:open->tab:market|choice:*->story:allmarket_unlocked
story_lower_market_first_leaf,first_harvest,duel,,,,lower=下層に回す,TRUE,178,TRUE,,cropId=lettuce,comms_open,0.18,choice:lower->tab:market|choice:lower->guide:sell-lettuce
story_first_place_floor_lock_v1,first_place,duel,LAYOUT ASSIST,,,ok=確認|return=返品を検討する,TRUE,94,TRUE,,,comms_open,0.18,choice:*->add_device:support_robot|choice:*->guide:seed-lettuce
story_automation_os_unlocked,automation_os_unlocked,duel,AUTOMATION LINK,,,ok=確認,TRUE,174,TRUE,,unlockType=tab|unlockTarget=automation,comms_open,0.18,
story_labor_connection_training_v1,labor_first_open,duel,WORKFORCE LINK,,,start=接続訓練を始める,TRUE,172,TRUE,automationTabUnlocked=true,tabId=labor,comms_open,0.18,choice:start->grant_support_os:harvest+planting+cleaning|choice:start->labor_tutorial:start
story_labor_tutorial_cleaning_completed,labor_tutorial_cleaning_completed,duel,WORKFORCE LINK,ROUTE CONNECTED,,next=次の訓練へ,TRUE,173,TRUE,,tabId=labor,comms_open,0.18,choice:*->labor_tutorial:advanced
story_labor_tutorial_completed,labor_tutorial_completed,duel,WORKFORCE LINK,ROUTE COMPLETE,,ok=訓練を終了する,TRUE,173,TRUE,,tabId=labor,comms_open,0.18,choice:*->labor_tutorial:complete
story_allmarket_unlocked,allmarket_unlocked,duel,MARKET PROFILE,,,ok=確認,TRUE,173,TRUE,allMarketsUnlocked=true,,comms_open,0.18,
story_pre_result_robot_interview,pre_result_robot_interview,duel,EXIT INTERVIEW,,,close=記録を見る,TRUE,220,TRUE,,,comms_open,0.18,
story_radar_unlocked,radar_unlocked,duel,PERIMETER LINK,,,ok=受信,TRUE,177,TRUE,,unlockType=radar|unlockTarget=radar,comms_open,0.18,choice:*->radar_demo:start
story_radar_tutorial_success,radar_tutorial_success,duel,PERIMETER LINK,TRACE LOST,,ok=確認,TRUE,179,TRUE,,,comms_open,0.18,
story_radar_tutorial_failure,radar_tutorial_failure,duel,PERIMETER LINK,CONTACT RECORDED,,ok=確認,TRUE,179,TRUE,,,comms_open,0.18,
story_schedule_first_open,schedule_opened,duel,LOWNET SCHEDULE,INFORMATION BROKER,,ok=予定を確認,TRUE,171,TRUE,shopUnlocked=true,tabId=schedule,comms_open,0.18,
story_radio_first_open,radio_first_open,duel,RADIO LINK,UNKNOWN LISTENER,,ok=ラジオを確認,TRUE,170,TRUE,,tabId=radio,comms_open,0.18,
story_support_robot_initial_encouragement,support_robot_initial_encouragement,duel,ROBOT TALK,応援モード,,ok=了解,TRUE,96,TRUE,,,comms_open,0.18,
story_support_robot_water_production_prompt,support_robot_water_production_prompt,duel,ROBOT TALK,水資源の提案,,ok=了解,TRUE,95,TRUE,,,comms_open,0.18,
story_support_robot_nutrient_production_prompt,support_robot_nutrient_production_prompt,duel,ROBOT TALK,養液資源の提案,,ok=了解,TRUE,95,TRUE,,,comms_open,0.18,
story_support_robot_periodic_farm_report,support_robot_periodic_farm_report,duel,ROBOT REPORT,定時報告,,ok=確認,FALSE,45,TRUE,,,comms_open,0.18,
