eventId,speakerId,side,slot,name,role,icon
episode0_first_illegal_procurement,narrator,system,0,？？,,
episode0_first_illegal_procurement,mara,left,0,マーラ,種ブローカー,assets/characters/seed-broker.png
episode0_first_illegal_procurement,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
episode0_first_illegal_procurement,support_robot,right,1,？？,サポートロボット,assets/characters/supportRobot-iso-leftdown.png
story_market_medical_unlocked,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_market_medical_unlocked,doctor_io,left,0,ドクター・イオ,医療・実験区画,assets/characters/market-medical.png
story_market_medical_unlocked,narrator,system,0,？？,,
story_property_broker_unlocked,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_property_broker_unlocked,kido,left,0,キド,不動産ブローカー,assets/characters/property-broker-black.png
story_property_broker_unlocked,narrator,system,0,？？,,
story_market_upper_unlocked,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_market_upper_unlocked,sera,left,0,セラ・ヴェイル,上層フィクサー,assets/characters/market-upper.png
story_market_upper_unlocked,narrator,system,0,？？,,
story_market_rebel_unlocked,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_market_rebel_unlocked,nagi,left,0,ナギ,地下補給局,assets/characters/market-rebel.png
story_market_rebel_unlocked,narrator,system,0,？？,,
story_lower_market_first_leaf,yun,left,0,ユン,下層市場,assets/characters/market-lower.png
story_lower_market_first_leaf,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_lower_market_first_leaf,narrator,system,0,？？,,
story_first_place_floor_lock_v1,support_robot,left,0,サポートロボット,押しかけ就職志願,assets/characters/supportRobot-iso-leftdown.png
story_first_place_floor_lock_v1,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_automation_os_unlocked,mara,left,0,マーラ,種ブローカー,assets/characters/seed-broker.png
story_automation_os_unlocked,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_automation_os_unlocked,narrator,system,0,？？,,
story_automation_evaluation,mara,left,0,マーラ,種ブローカー,assets/characters/seed-broker.png
story_automation_evaluation,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_pre_result_robot_interview,support_robot,left,0,サポートロボット,前農場・支援担当,assets/characters/supportRobot-iso-leftdown.png
story_pre_result_robot_interview,unknown,right,0,？？？,経営者,assets/characters/syeisyei.png
story_pre_result_robot_interview,narrator,system,0,？？,,
story_radar_unlocked,yun,left,0,ユン,下層市場,assets/characters/market-lower.png
story_radar_unlocked,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_radar_unlocked,narrator,system,0,？？,,
story_radar_tutorial_success,yun,left,0,ユン,下層市場,assets/characters/market-lower.png
story_radar_tutorial_success,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_radar_tutorial_failure,yun,left,0,ユン,下層市場,assets/characters/market-lower.png
story_radar_tutorial_failure,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_labor_first_open,support_robot,left,0,サポートロボット,労務管理支援,assets/characters/supportRobot-iso-leftdown.png
story_labor_first_open,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
story_allmarket_unlocked,mara,left,0,マーラ,種ブローカー,assets/characters/seed-broker.png
story_allmarket_unlocked,operator,right,0,オペレーター,未登録栽培者,assets/characters/protagonist.png
