id,order,kind,text,gap,anchor
result_button_label,0,config,エンディングを見る,,FALSE
skip_label,0,config,スキップ ▸,,FALSE
replay_label,0,config,もう一度観る,,FALSE
exit_label,0,config,スタートへ戻る,,FALSE
fin_title,0,config,FIN,,FALSE
fin_subtitle,0,config,UNDERGREEN,,FALSE
after_heading,10,section,（エンディング案 B－2  人類滅亡、ロボットの繁栄）,m,FALSE
after_intro,20,story_first,その後,m,FALSE
human_conflict,30,story,人間は争いを止めることなく,s,FALSE
human_resources,40,story,限られた資源と食料を奪い合い,s,FALSE
human_end,50,story,暗い狭い中で一人残らず死に絶えました,m,FALSE
robots_freed,60,story,人類から解放されたサポートロボットたちは,s,TRUE
robots_land,70,story,次第に汚染された大地におりたち,s,FALSE
green_return,80,story,途方もない年月をかけて彼らの星に緑を取り戻しました,m,FALSE
robot_civilization,90,story,そしてさらにさらに長い年月、彼らの文明を謳歌したのち,m,FALSE
last_robot,100,story,最後のひとりが機能を停止した後の,s,FALSE
unknown_earth,110,story,その後の地球を知るものは誰もいません。,xl,FALSE
story_divider,120,divider,,xl,FALSE
staff_heading,130,title,スタッフロール,l,FALSE
staff_credits,140,credits,,xl,FALSE
