marketId,cropId,baseSignal,maxSignal,recoveryPerDay,saleImpact,sensitivity,surgeSensitivity,priceFloor,priceCeiling,supplyBoostFactor,note
lower,lettuce,40,72,12,1,0.35,1.67,0.78,2.00,0,大量の買付に耐える基礎食料
lower,spinach,28,48,3,1,0.50,0.50,0.65,1.35,0,栄養供給向けの安定需要
lower,basil,16,30,1,1,0.80,0.80,0.45,1.50,0.55,生活に余裕があるほど需要が広がる
lower,tomato,10,20,0.55,1,1.20,1.20,0.40,1.60,0.75,基幹食材だが短期の大量販売には弱い
medical,chamomile,7,26,0.75,1,0.90,0.90,0.42,1.55,1,患者ケア向けの限定需要
medical,rosemary,6,24,0.6,1,1.00,1.00,0.40,1.60,1,治療・実験向けの限定需要
upper,tomato,5,20,0.55,1,1.10,1.10,0.42,1.60,0.75,旧世界料理向けの買付
upper,strawberry,3,14,0.35,1,1.35,1.35,0.32,1.70,1,高単価だが買付件数は少ない
upper,melon,2,10,0.2,1,1.55,1.55,0.28,1.80,1,極端に限定された最高級需要
rebel,lettuce,32,56,9,1,0.40,0.40,0.74,1.35,0,補給線を支える大口需要
rebel,spinach,22,40,2.5,1,0.55,0.55,0.62,1.40,0,栄養補給向けの安定需要
rebel,basil,12,24,0.8,1,0.85,0.85,0.42,1.55,0.55,士気維持用の嗜好需要
rebel,aconite,2.5,12,0.25,1,1.45,1.45,0.30,1.75,1,作戦ごとに発生する限定需要
