id,type,target,requirements,event,hint,initiallyUnlocked
shop_basic,tab,shop,unitsSold>=1,shop_unlocked_after_lettuce,作物を1株以上売ると調達端末が開きます,false
radar_access,radar,radar,revenue>=250,radar_unlocked,累計売上250Cで周辺監視レーダーを受領,false
seed_lettuce,seed_item,lettuce,,,最初から扱える基礎作物,true
seed_spinach,seed_item,spinach,,,最初から扱える基礎作物,true
seed_basil,seed_item,basil,revenue>=1000,crop_basil_unlocked,累計売上1000Cで香草種子の取引が開きます,false
seed_tomato,seed_item,tomato,unitPlaced:box>=1,crop_tomato_unlocked,BOXを設置すると解放,false
seed_chamomile,seed_item,chamomile,marketUnlocked:medical=true,crop_medical_herbs_unlocked,医療実験区画との接続後に解放,false
seed_rosemary,seed_item,rosemary,marketUnlocked:medical=true,crop_medical_herbs_unlocked,医療実験区画との接続後に解放,false
seed_strawberry,seed_item,strawberry,marketUnlocked:upper=true,crop_strawberry_unlocked,上層市場との接続後に解放,false
seed_melon,seed_item,melon,marketUnlocked:upper=true|revenue>=7500,crop_melon_unlocked,上層市場接続後さらに売上7500で解放,false
seed_aconite,seed_item,aconite,marketUnlocked:rebel=true,crop_aconite_unlocked,地下補給局との接続後に解放,false
shop_pod,shop_item,pod,,,追加POD,true
shop_box,shop_item,box,baseCount>=2|unitsSold>=8|revenue>=1150,unlock_box,追加拠点を契約し累計8株販売と売上1150で解放,false
shop_light,shop_item,light,unitPlaced:box>=1,unlock_devices,BOXを設置すると環境補助設備が解放されます,false
shop_fan,shop_item,fan,unitPlaced:box>=1,unlock_devices,BOXを設置すると環境補助設備が解放されます,false
shop_tank,shop_item,tank,,,初期から購入可能,true
shop_filter,shop_item,filter,,,初期から購入可能,true
shop_water_cartridge,shop_item,water_cartridge,,,初期から購入可能,true
shop_nutrient_cartridge,shop_item,nutrient_cartridge,,,初期から購入可能,true
shop_fridge,shop_item,fridge,unitPlaced:box>=1|revenue>=2100,unlock_storage,BOX運用後に累計売上2100で保管設備が解放されます,false
market_medical,market,medical,revenue>=1500,market_medical_unlocked,累計売上1500Cで接続,false
broker_access,broker,broker,initialBaseOccupied>=5,property_broker_unlocked,初期拠点の5マスを設備で占有すると物件紹介が届きます,false
automation_os_access,tab,automation,revenue>=2000,automation_os_unlocked,累計売上2000Cで自動化OS取引を解放,false
market_upper,market,upper,revenue>=3500,market_upper_unlocked,累計売上3500Cで接続,false
market_rebel,market,rebel,revenue>=3500,market_rebel_unlocked,累計売上3500Cで上層市場の次に接続,false
story_allmarket_unlocked,story,allmarket_unlocked,allMarketsUnlocked=true,allmarket_unlocked,全市場解放後にマーラから評価について通信,false
shop_support_robot,shop_item,support_robot,shopUnlocked=true|device:support_robot>=1,,サポートロボット合流後に追加機を購入できます,false
shop_procurement_terminal,shop_item,procurement_terminal,shopUnlocked=true|device:support_robot>=1,,サポートロボット合流後に設置型調達端末を購入できます,false
shop_shipping_hatch,shop_item,shipping_hatch,shopUnlocked=true|device:support_robot>=1,,サポートロボット合流後に出荷用搬出口を購入できます,false
