marketId,cropId,axisAWeight,axisBWeight,synergy,synergyMode,minMultiplier,maxMultiplier,note
lower,lettuce,0.78,-0.08,0,highHigh,0.72,1.48,空腹度が高い日に強い
lower,spinach,-0.08,0.78,0,highHigh,0.72,1.48,栄養需要が高い日に強い
lower,basil,0,0,1.55,lowLow,0.72,2.35,空腹度と栄養需要が低い日に伸びる
lower,tomato,0,0,1.25,lowLow,0.78,1.85,食卓に余裕がある日に伸びる
medical,chamomile,-0.06,0.78,0,highHigh,0.72,1.48,ケア需要が高い日に強い
medical,rosemary,0.78,-0.06,0,highHigh,0.72,1.48,治療需要が高い日に強い
upper,tomato,0,0,1.0,lowLow,0.82,1.65,上層需要が落ち着いた日に伸びる
upper,strawberry,-0.06,0.78,0,highHigh,0.72,1.55,見栄え需要が高い日に強い
upper,melon,0.78,-0.06,0,highHigh,0.72,1.55,希少性需要が高い日に強い
rebel,lettuce,0.58,-0.04,0,highHigh,0.8,1.35,補給需要が高い日に強い
rebel,spinach,0.54,-0.03,0,highHigh,0.8,1.35,補給需要が高い日に強い
rebel,basil,0,0,0.8,lowLow,0.82,1.65,補給と工作需要が低い日に伸びる
rebel,aconite,-0.04,0.78,0,highHigh,0.72,1.55,工作需要が高い日に強い
