id,trigger,speakerName,speakerRole,icon,kicker,title,body,choices,once,priority,blocking,requirements,context,sound,soundVolume,effects
prologue_inner_voice_v4,game_start,オペレーター,主人公,assets/characters/protagonist.webp,PRIVATE MEMO,最初の夜,下層の空気は湿ってよどんでいる。|この息のつまる棺桶の中で、人々はどうにか今日を生きる意味を見つけて生きている。|自分にとってそれはいったい何になるのだろう。|あの時から私は「止まった時」を生きている。,ok=届いた荷物を開封する,TRUE,130,TRUE,,,,,
mara_pod_delivery_v4,game_start,マーラ,種ブローカー,assets/characters/seed-broker.webp,ENCRYPTED DELIVERY,届いた荷物,"繋がってるかい？ 無事に""荷物""が届いたようだね。|あんた用に手配した栽培ポッドと、レタスの種も少し入ってる。こっちはサービスだ。|うちらも慈善事業じゃないし、闇市のやつらもリスク承知でやっている。|まずはあんたが自分の能力を示せれば、おのずと声はかかるだろうさ。",ok=ポッドを確認,TRUE,120,TRUE,,,,,
welcome_v4,game_start,マーラ,種ブローカー,assets/characters/seed-broker.webp,ENCRYPTED COMMS,最初の手順,植物には水と光と栄養が不可欠だ。それは旧世界から変わらない真理さ。|まあ、ここでは最新の技術でちょっとばかし成長が早いがね。|まずはポッドを配置して、レタスの種を植えてみな。|レタスを植えるには、タップとドラッグだ。分かるね？,ok=もうほかに道はない,TRUE,100,TRUE,,,,,choice:*->guide:place-pod
first_plant_v4,first_plant,マーラ,種ブローカー,assets/characters/seed-broker.webp,SEED TRACE,最初の芽,見事な若葉が見えるかい。種は小さいけどデジタル記録よりずっと強固な世界の記憶だよ。|水と養液を切らさなければ、植物が裏切ることはない。|あんたの能力が証明されたら、おのずと売り手から声がかかるだろうさ。,ok=そうだといいが,TRUE,90,TRUE,,,,,
waiting_growth_v4,first_plant,オペレーター,主人公,assets/characters/protagonist.webp,PRIVATE MEMO,待つ時間,植物を育てる時間は、逃げる時間に似ている。|どうにも前に進めなくなった時、道を見失った時|予定調和のように一定に育ち続けるレタスを眺めるのは私の癒しとなる,ok=とにかく待とう,TRUE,89,TRUE,,,,,
first_sale_v4,first_sale,ユン,下層市場,assets/characters/market-lower.webp,TRANSFER CONFIRMED,配給所のざわめき,感謝する。|あんたのレタスが届いた瞬間の、みんなの興奮を届けられなくて残念だ。|金額だけ見れば薄い商売だ。けど、俺たちはあんたのレタスをほんのちょっぴりも残すことなく平らげるだろう。,ok=ログを閉じる|ok=軽く微笑む,TRUE,81,TRUE,,,,,
shop_unlock_v4,shop_unlocked_after_lettuce,マーラ,種ブローカー,assets/characters/seed-broker.webp,PROCUREMENT ACCESS,調達端末解放,最初の売上を確認した。これで最低限の信用はできたようだね。|調達端末のロックを外す。まずはポッドの増設かね。|同じ時間を待つなら、１つのレタスより２つのレタスの方がいいだろう？,later=恩に着る,TRUE,80,TRUE,timeUnlocked=false,,,,
tutorial_time_reflection_v1,shop_unlocked_after_lettuce,オペレーター,主人公,assets/characters/protagonist.webp,PRIVATE MEMO,時間の感触,調達端末の応答音が、地下の静けさに小さな穴を開けた。|私の時間が再び動き出した気がする。,open=調達端末を開く,TRUE,79,TRUE,timeUnlocked=false,,,,choice:open->tab:shop
tutorial_time_start_v1,shop_unlocked_after_lettuce,端末OS,栽培管理AI,assets/icons/locked.webp,SYSTEM NOTICE,リアルタイム運用開始,ここからはゲーム内の時間が進行していきます。|作物の成長、設備の汚れ、日次の市場変動が継続的に処理されます。|あなただけの違法レタス工場を作り上げてください。| Good Lettuce!,ok=運用を開始| ok=Good Lettuce!,TRUE,78,TRUE,timeUnlocked=false,,,,choice:*->unlock_time
first_cleaning_needed_v1,first_cleaning_needed,端末OS,清掃管理AI,assets/icons/locked.webp,MAINTENANCE ALERT,清掃サイクル,設備表面の汚染値が許容ラインを超えました。清掃せずに運用を続けると効率低下と品質低下の原因になります。|栽培区画内のブラシまたはバケツを設備へドラッグして清掃してください。,ok=清掃する,TRUE,78,TRUE,,,,,
crop_basil_unlocked_v1,crop_basil_unlocked,マーラ,種ブローカー,assets/characters/seed-broker.webp,SEED ROUTE,バジル種子解放,バジルの種子が手に入ったよ。調達端末に回しておいた。新しい作物は育つ時間も売れ方も違う。まずは小さく試してみな。,ok=確認,TRUE,76,FALSE,,,comms_open,0.14,
crop_tomato_unlocked_v1,crop_tomato_unlocked,マーラ,種ブローカー,assets/characters/seed-broker.webp,SEED ROUTE,旧世界トマト種子解放,古いルートで旧世界トマトの種が出た。調達端末に回しておいたよ。ポッドじゃ手狭だ。今置いたボックスで育てな。,ok=確認,TRUE,76,FALSE,,,comms_open,0.14,
crop_medical_herbs_unlocked_v1,crop_medical_herbs_unlocked,マーラ,種ブローカー,assets/characters/seed-broker.webp,SEED ROUTE,医療用ハーブ種子解放,医療区画との取引が通った。カモミールとローズマリーの種子を調達端末に回しておいたよ。どちらもあの区画が高く買う。,ok=確認,TRUE,76,FALSE,,,comms_open,0.14,
crop_strawberry_unlocked_v1,crop_strawberry_unlocked,マーラ,種ブローカー,assets/characters/seed-broker.webp,SEED ROUTE,イチゴ種子解放,上層向けにイチゴの種子が出た。調達端末に回しておいたよ。見栄えと品質が値段に響く作物だ。丁寧に育てな。,ok=確認,TRUE,76,FALSE,,,comms_open,0.14,
crop_melon_unlocked_v1,crop_melon_unlocked,マーラ,種ブローカー,assets/characters/seed-broker.webp,SEED ROUTE,培養メロン種子解放,培養メロンの種子を確保した。調達端末に回しておいたよ。時間も資源も食うが、上層は相応の額を出す。,ok=確認,TRUE,76,FALSE,,,comms_open,0.14,
crop_aconite_unlocked_v1,crop_aconite_unlocked,マーラ,種ブローカー,assets/characters/seed-broker.webp,SEED ROUTE,トリカブト種子解放,反体制ルートからトリカブトの種が入った。調達端末に回しておいたよ。用途を考えれば、扱いは慎重にするんだね。,ok=確認,TRUE,76,FALSE,,,comms_open,0.14,
unlock_box_v1,unlock_box,マーラ,種ブローカー,assets/characters/seed-broker.webp,HARDWARE ROUTE,栽培ボックス入荷,ようやくあのせまっくるしい拠点から出たみたいだね。|中型の栽培ボックスを調達端末に出しといたよ。|ちょっと高いから、置き場所と資金を見てから買うんだね。,open=調達端末を見る|later=後で見る,TRUE,76,TRUE,,,,,choice:open->tab:shop
unlock_devices_v1,unlock_devices,端末OS,配置補助AI,assets/icons/locked.webp,ENVIRONMENT KIT,環境補助設備解放,中型設備の稼働を確認。成長を促す補助設備が購入可能になりました。|LED ファン タンクが調達端末に追加されました。|補助設備には効果範囲があります。配置には気を付けてください。,open=調達端末を見る|later=後で見る,TRUE,74,TRUE,,,,,choice:open->tab:shop
unlock_storage_v1,unlock_storage,端末OS,栽培管理AI,assets/icons/locked.webp,STABILITY KIT,保管と濾過の提案,収穫量が増えています。廃棄と補給費が利益を削る前に恒久設備を検討してください。|水フィルターと冷蔵保管箱の調達経路を開きます。,open=調達端末を見る|later=後で見る,TRUE,73,TRUE,,,,,choice:open->tab:shop
sale_property_v4,property_sale_seen,キド,不動産ブローカー,assets/characters/property-broker-black.webp,BROKER ALERT,穴あき物件,セール物件はいかがでしょう。|安さの裏には事情があります。けど、たまには掘り出し物があるかもしれませんよ？。,ok=図面を見る,TRUE,70,FALSE,,,,,
lower_discontent_medical_v4,medical_specialty_sale,ユン,下層市場,assets/characters/market-lower.webp,LOWNET COMPLAINT,列の外へ,医療区画にハーブを流したって聞いた。責める気はない。あっちは金を出すからな。|ただ下層の列は今日も長い。緑がどこへ消えたのか皆だいたい分かってる。,ok=沈黙する|explain=何も言えない,TRUE,73,FALSE,,,,,
relocated_v4,relocate,キド,不動産ブローカー,assets/characters/property-broker-black.webp,CONTRACT CLOSED,追加拠点,契約完了です。記録上、この区画は存在しません。|拠点タブで拠点を切り替えて管理してください。活用しないと、維持費だけかかってしまいますよ？,ok=了解,TRUE,70,TRUE,,,,,
resource_low_v4,resource_low,端末OS,栽培管理AI,assets/icons/locked.webp,SYSTEM WARNING,資源残量低下,水または養液の残量が危険域です。次の植え付けが停止する可能性があります。|空気製水器と養液培養槽の稼働数を確認してください。,ok=確認する|ignore=無視,TRUE,65,FALSE,,,,,
schedule_opened_v1,schedule_opened,端末OS,LOWNET解析AI,assets/icons/locked.webp,LOWNET SCHEDULE,予定表解放,LOWNETの噂ログを月間予定表として復号しました。|噂は必ず当たるとは限りませんが、需要が動く方向の手がかりになります。|収穫までの時間を逆算して、どの作物を育てるか決めてください。,ok=予定を確認,TRUE,72,TRUE,,,,,
support_robot_os_required_v1,support_robot_os_required,サポートロボット,未認証サポート機,assets/icons/locked.webp,OS REQUIRED,応援してます！,現在は応援モードで待機しています。|追加OSを導入すると、清掃、収穫、補給などを自律支援できます。|が、今はまだ、あなたの作業を見て応援しているだけです。|Good Lettuce!,ok=邪魔…,FALSE,60,FALSE,,,comms_open,,
plant_resource_shortage_v1,plant_resource_shortage,サポートロボット,補助観測ユニット,assets/characters/supportRobot-iso-leftdown.webp,SUPPLY ASSIST,植え付け資源不足,{cropName}を植えるには{missingResources}が足りません。|生産設備を増設するか、次の日の生産を待ってください。,shop=生産設備を見る|ok=了解,FALSE,62,FALSE,,,comms_open,,choice:shop->tab:shop
support_os_harvest_bought_v1,buy_support_os_harvest,サポートロボット,認証サポート機,assets/characters/supportRobot-iso-leftdown.webp,SUPPORT OS,収穫OS起動,わあ 収穫プロトコルが開きました！|範囲内でREADYになった株を見つけたら 一株ずつ回収します。|ロボットの近くにポッドやボックスを置いてください。Good Lettuce!,ok=使ってみる,TRUE,68,TRUE,,,comms_open,,
support_os_planting_bought_v1,buy_support_os_planting,サポートロボット,認証サポート機,assets/characters/supportRobot-iso-leftdown.webp,SUPPORT OS,植え付けOS起動,植え付けOSきました！|設備メニューで、ロボットごとに植える種を選べます。|種と水と養液がある限り 範囲内の空きスロットへ一株ずつ植えます。Good Lettuce!,ok=設定を見る,TRUE,68,TRUE,,,comms_open,,
support_os_cleaning_bought_v1,buy_support_os_cleaning,サポートロボット,認証サポート機,assets/characters/supportRobot-iso-leftdown.webp,SUPPORT OS,お掃除OS起動,お掃除OSです！|範囲内の汚れた設備を見つけたら 自動で清掃します。|自分で自分のボディも清掃できます。有能なんです。Good Lettuce!,ok=任せる,TRUE,68,TRUE,,,comms_open,,
aged_crop_sale_v1,first_aged_sale,サポートロボット,在庫観測ユニット,assets/characters/supportRobot-iso-leftdown.webp,STOCK AGE,寝かせた作物,収穫から1日以上たった作物が売却されました。|鮮度は少し落ちますが、売り時を待つ判断も経営の一部です。|高値の日まで抱えるか、劣化する前に流すか。記録しておきます。,ok=記録を確認,TRUE,64,TRUE,,,comms_open,,
first_s_rank_crop_v1,first_s_rank_crop,サポートロボット,品質観測ユニット,assets/characters/supportRobot-iso-leftdown.webp,QUALITY SPIKE,Sランク個体を検知,すごいです。Sランク個体を検知しました。|葉の張り、色、栄養値が基準を大きく超えています。|きっとみなさん大喜びでしょう。Good Lettuce!,ok=記録を確認,TRUE,73,TRUE,,,comms_open,,
